filepath,label,split
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905094205对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905095214对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905091646对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905094102对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905095124对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905094451对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905095710对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905092240对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905094554对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905094542对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905094023对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180907152907对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180910104037对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180910105354对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180906144422对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905091545对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180907154849对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905093727对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180907154406对照样本.jpg,be_injured_by_a_collision,train
data/splits_combined/train/be_injured_by_a_collision/碰伤20180905092406对照样本.jpg,be_injured_by_a_collision,train
